icd1,sales,profit,profits,profitpure,equity,assets
4,1797,294,605,434,1432,2231
4,5148,2,12,-7,2607,4724
4,11696,1049,1058,705,2682,4274
4,1242,-29,-19,-15,2324,2634
4,1020,491,490,309,2282,4512
4,2661,528,547,382,3429,4541
4,2255,452,427,316,1739,2108
4,6495,1247,1248,919,4227,5110
4,8056,585,585,378,3261,5033
4,1966,363,563,445,1083,1357
4,4837,1676,1677,1074,5156,5911
4,909,16,21,23,450,1183
4,2473,397,394,211,1283,3120
4,2520,452,449,327,1881,2310
4,989,51,48,26,798,950
4,26844,14412,12906,7707,23577,37011
4,1637,-5,-4,-66,1305,2100
4,5840,748,751,523,3423,5400
4,1325,-527,-550,-1040,527,1495
4,1343,-39,-33,-51,222,736
4,16643300000,-724,-887,-6069,18283300000,43676700000
4,2412,334,354,241,2304,2582
4,2017,11,-4,-96,812,1293
4,1631,696,695,450,2421,2821
4,11634,510,1372,4369,13524,23534
4,4529,709,1182,1039,9417,21321
4,1646,89,84,7,1716,1935
4,1448,514,489,312,2362,3159
4,1452,346,345,177,1993,3025
4,10401,817,812,496,4736,7753
4,4744,1327,1351,852,5811,7121
4,1333,529,529,325,2425,2739
4,1128,161,161,111,1176,1476
3,1611,24,25,11,1460,2124
4,429,101,102,90,1718,2073
4,2902,380,374,38,794,1741
4,3098,204,191,78,1201,2846
4,2684,272,269,203,1304,1952
4,1989,124,125,89,1466,1748
4,1141,64,65,43,891,1033
4,9254,562,624,439,3994,8368
3,16288,1145,1161,1180,6541,9248
4,1075,284,287,203,3123,3248
4,3024,-174,-122,-121,1500,2261
4,2192,-239,504,328,17870,18596
4,29877,3950,4002,1574,25337,30025
4,14104,944,950,691,7041,9577
3,43993,3734,3924,3824,27148,40637
4,4926,494,524,359,1353,4421
4,3922300000,62518,77716,63345,39148600000,56061900000
4,5251,169,203,139,3559,4299
3,4821,175,279,213,10878,13311
4,1481,80,78,54,718,1016
3,9857,723,715,485,4312,7742
3,12599,1955,2253,1634,7524,10424
3,19584,101,197,149,4133,19909
3,11024,7372,10576,7457,92106,11135100000
4,13796,730,779,330,6596,12439
4,4228,1987,1825,1653,18998,25150
3,49570,3086,2970,1623,20579,48785
4,12802,1030,1038,651,6836,10422
4,3315,149,230,150,3168,9343
4,2567,120,119,87,917,1536
3,4564,106,123,80,874,1598
3,17858700000,1283,1233,706,6748,61636
3,21469,3986,4220,2931,41809,48249
3,59153,4363,4376,1673,29083,36827
4,14708,927,968,733,12004,17341
4,22038,2008,3361,2609,22225,35865
4,1490,110,124,77,941,1485
3,7177,562,3077,2575,12633,56970
3,1734,-270,314,562,2934,6129
4,4316,649,657,471,2514,3366
4,655,146,135,84,782,1094
4,635,7,4,8,507,791
4,1377,420,415,296,1979,2157
4,17168,143,130,69,6809,9246
4,46254,7135,7090,-5046,60242,12574200000
4,4226,372,348,254,1354,2190
3,1308,191,177,107,989,1248
4,737,211,202,150,1103,1211
